entity_id,entity_name,region,fragility_bucket,as_of_date,organized_violence_events,protest_events,interstate_tension_events,humanitarian_displacement_flow,news_volume_7d,news_tone_7d,macro_stress_index,shipping_disruption_index,climate_stress_index,neighbor_spillover_index,structural_fragility_index,missing_macro_flag,lag_1d_organized_violence_events,lag_7d_organized_violence_events,lag_7d_protest_events,lag_7d_displacement_flow,rolling_14d_violence_mean,rolling_30d_violence_volatility,delta_7d_vs_30d_violence,zscore_30d_news_volume
col,Colombia,latin_america,medium,2023-01-01,0,0,0,5.147555652622132,2.0,-0.02300969063623272,0.5147555652622132,0.34646951340824744,0.33,0.1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col,Colombia,latin_america,medium,2023-01-02,0,0,0,5.236739606139475,2.0,0.0371598631721977,0.5236739606139474,0.34492490967378264,0.333447592534511,0.1,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col,Colombia,latin_america,medium,2023-01-03,0,0,0,5.322107443769777,2.0,-0.004123918600865259,0.5322107443769777,0.34310638896181067,0.3368910860786158,0.1,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col,Colombia,latin_america,medium,2023-01-04,0,0,0,5.403395752293471,2.0,0.004052718520563281,0.5403395752293471,0.34101738838813217,0.3403263865153732,0.1,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col,Colombia,latin_america,medium,2023-01-05,0,0,0,5.480353706392075,2.0,-0.014535834030027069,0.5480353706392075,0.33866185629209367,0.3437494094689786,0.1,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col,Colombia,latin_america,medium,2023-01-06,0,0,0,5.552743842601321,2.0,0.05772848734931434,0.5552743842601321,0.33604424477398365,0.3471560851608524,0.1,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
col,Colombia,latin_america,medium,2023-01-07,0,0,0,5.620342792034599,2.0,-0.0010736283521747398,0.5620342792034598,0.3331695012802897,0.35054236324837496,0.1,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
col,Colombia,latin_america,medium,2023-01-08,0,0,0,5.6829419696157935,2.0,-0.11002078362410311,0.5682941969615793,0.33004305925272087,0.3539042176405118,0.1,0.5,0,0.0,0.0,0.0,5.147555652622132,0.0,0.0,0.0,-0.0
col,Colombia,latin_america,medium,2023-01-09,0,0,0,5.740348217694824,2.0,-0.03460362752372453,0.5740348217694824,0.3266708278586692,0.3572376512846057,0.1,0.5,0,0.0,0.0,0.0,5.236739606139475,0.0,0.0,0.0,-0.0
col,Colombia,latin_america,medium,2023-01-10,0,0,0,5.792384402059914,2.0,-0.09843983035401216,0.5792384402059914,0.32305918082252066,0.36053870091864426,0.1,0.5,0,0.0,0.0,0.0,5.322107443769777,0.0,0.0,0.0,-0.0
col,Colombia,latin_america,medium,2023-01-11,0,0,0,5.838889958507511,2.0,-0.16257192077482693,0.583888995850751,0.3192149443789245,0.36380344178335106,0.1,0.5,0,0.0,0.0,0.0,5.403395752293471,0.0,0.0,0.0,-0.0
col,Colombia,latin_america,medium,2023-01-12,0,0,0,5.8797213882833805,2.0,-0.026505767488615606,0.5879721388283381,0.31514538437079087,0.36702799228850064,0.1,0.5,0,0.0,0.0,0.0,5.480353706392075,0.0,0.0,0.0,-0.0
col,Colombia,latin_america,medium,2023-01-13,0,0,0,5.914752700866089,2.0,0.06667799250513619,0.5914752700866088,0.3108581925164015,0.3702085186279072,0.1,0.5,0,0.0,0.0,0.0,5.552743842601321,0.0,0.0,0.0,-0.0
